「……私に何か？」	「嗯？谁在呼唤我？」
「んん？　甘えたいのか？　ふふ♥　しょうがないなぁ、%ANAME(MASTER)%は…♥」	「嗯？想撒娇吗？fufu♥ 真拿你没办法啊，%ANAME(MASTER)%…♥」
%ANAME(TARGET)%は%ANAME(MASTER)%の頭と背中をポンポンと撫で、柔らかい尻尾で抱き包んだ	%ANAME(TARGET)%抚摸着%ANAME(MASTER)%的头和背同时用柔软的尾巴抱着
「ふふ♥　私の尻尾、いい手触りだろう？　いくらでも触ってくれていいんだぞ♪」	「fufu♥我的尾巴触感很好吧？不管怎么样碰都可以哦♪」
「あ…♥　エッチな触り方だな。でも%ANAME(MASTER)%ならもっと先まで構わないぞ♥」	「啊…♥真是色情的触摸方式啊。但是如果是%ANAME(MASTER)%的话，再进一步也没关系哦♥」
%ANAME(MASTER)%は%ANAME(TARGET)%の耳を甘噛みした	%ANAME(MASTER)%亲密地咬住了%ANAME(TARGET)%的耳朵
「ひゃん！　耳は弱いんだ…だから、優しくしておくれ♥」	「呼呜~！耳朵很敏感的…所以，请温柔一点♥」
「この尻尾は私の自慢なんだ。%ANAME(MASTER)%にだったら、好きにしてくれていいからな♥」	「这尾巴是我的骄傲。如果是%ANAME(MASTER)%的话，你可以随意抚摸哦♥」
「んん…♥　%ANAME(MASTER)%の撫で方、とても気持ちいいよ…♥」	「嗯…♥%ANAME(MASTER)%的抚摸方法，非常舒服哦…♥」
「尻尾に包まれてみたい？　ふふ、他ならぬ%ANAME(MASTER)%の頼みなら構わないよ♥」	「想被尾巴包围吗？ fufu，既然是%ANAME(MASTER)%的请求的话没关系哦♥」
「え、膝枕してほしい？　ふふ、構わないぞ。ほら、おいで♥」	「嗯，你想枕膝吗？fufu，没关系，来，到这里♥」
%ANAME(TARGET)%は%ANAME(MASTER)%の頭を柔らかな太ももで迎え、その頭を愛おしそうに撫でる	%ANAME(TARGET)%用柔软的大腿迎接%ANAME(MASTER)%的头，爱抚着
「%ANAME(MASTER)%、気持ちいいか？　……ふふ、それは良かった」	「%ANAME(MASTER)%，舒服吗？　……fufu，那太好了」
「え？　マッサージをしてくれるのか？　ふふ、ありがとう。%ANAME(MASTER)%に触ってもらえたらコリも解れるよ」	「啊？可以给我按摩吗？fufu，谢谢。如果被%ANAME(MASTER)%摸的话，可以解开酸痛哦」
%ANAME(MASTER)%が愛情を込めた肩揉みマッサージを始める。指が柔肌を揉み込む度、%ANAME(TARGET)%から恍惚とした艶声をが漏れる	%ANAME(MASTER)%带着爱意开始按摩肩膀。每当手指揉进柔软的肌肤，%ANAME(TARGET)%就会发出恍惚的美艳声
「ぁん、…はぁ…♥…とても気持ち良いよ、%ANAME(MASTER)%。…次は背中とか…腰とかもしてほしいな…♥」	「嗯…哈…♥…很舒服哦，%ANAME(MASTER)%。…接下来是背…还有腰部…♥」
%ANAME(TARGET)%は目を細めてもっと触って欲しいというように身体をいやらしく震わせ、%ANAME(MASTER)%を無意識に誘惑している	%ANAME(TARGET)%眯起眼睛，像是想让她多摸一碰似的，让身体舒服地颤抖着，无意识地诱惑着%ANAME(MASTER)%
「ん？　甘えたいのか？　ふふ、しょうがないなぁ」	「嗯？想撒娇吗？fufu，真没办法啊」
%ANAME(TARGET)%は尻尾で%ANAME(MASTER)%を撫でるように抱き包んだ	%ANAME(TARGET)%用尾巴像抚摩%ANAME(MASTER)%一样地抱在怀里
「ひゃあっ！　耳は…弱いんだ…っ！」	「呼呜！耳朵…很敏感的…呜！」
「ひゃんっ！　…もう、%ANAME(MASTER)%ったら♪」	「哎呀！　…已经过界了哦，%ANAME(MASTER)%了♪」
「ん？　肩を揉んでくれるのか？　それは助かるよ。最近疲れが溜まり気味で…」	「嗯？可以帮我揉肩膀吗？那可帮大忙了。最近有点累了…」
%ANAME(MASTER)%は%ANAME(TARGET)%を労わる気持ちを込めてマッサージを始めた	%ANAME(MASTER)%怀着犒劳%ANAME(TARGET)%的心情开始按摩
%ANAME(TARGET)%は目を細めてリラックスした様子で%ANAME(MASTER)%に肩を揉まれている	%ANAME(TARGET)%眯着眼睛放松的样子被%ANAME(MASTER)%揉着肩膀
「尻尾を触りたい？　%ANAME(MASTER)%になら許すぞ」	「想摸尾巴吗？如果是%ANAME(MASTER)%的话就特许你」
「そんなに尻尾が気になるのか？」	「你那么在意尾巴吗？」
「ふむ…じゃあちょっとだけ触っていいぞ。乱暴にはしないでくれよ？」	「嗯…那就稍微碰一下吧。不要太粗暴哦？」
「ははっ、くすぐったいよ」	「哈哈，好痒啊」
「手を繋ぎたい？　それくらいお安い御用さ」	「想牵手吗？那么简单的事」
「…子ども扱いしているわけではないよな？」	「…你没有把我当孩子看待吧？」
「…子ども扱いしているわけではないですよね？」	「…不是当做孩子看待的吧？」
「んん…～♪」	「嗯…～♪」
%ANAME(TARGET)%は実に気持ちよさそうに頭を撫でられている	%ANAME(TARGET)%好像很舒服似的被抚摸着头
「ふふ、尻尾も撫でてくれていいんだぞ？」	「呵呵，可以抚摸下我的尾巴吗？」
「…ふふ、好きな人に撫でられるのって、とても気持ちがいいな…」	「…呵呵，被喜欢的人抚摸，感觉很舒服啊…」
「心を込めて撫でてくれよ？」	「用心地抚摸我吧？」
自分が撫でられることに慣れていないのか、%ANAME(TARGET)%は戸惑い気味だ	不习惯自己被抚摸吗，%ANAME(TARGET)%有点不知所措
「…髪は乱さないようにしてくれ…」	「…请不要弄乱头发…」
「…髪は乱さないようにしてくださいね」	「…请不要弄乱头发哦」
「…もっと撫でてくれてもいいんだぞ？」	「…可以再抚摸我一点吗？」
「ふふ、好きな人に撫でられるのって、とても気持ちがいいな…」	「fufu，被喜欢的人抚摸，感觉很舒服啊…」
「ん…」	「啾…~」
顔を離すと%ANAME(TARGET)%は恥ずかしそうに視線を逸らしてしまった	一离开脸，%ANAME(TARGET)%害羞地移开了视线
「んっ…大好きだぞ、%ANAME(MASTER)%♥」	「嗯…最喜欢你了，%ANAME(MASTER)%♥」
「もっと、…んん♥」	「更多…嗯~呜♥」
「…ん…こういうのも、ムードがあっていいな♥」	「…唔…这样的话、气氛不错呢♥」
「私の唇の味はどうだ？　ふふっ♥」	「我嘴唇的味道怎么样？ fufu♥」
「んっ…好きだぞ、%ANAME(MASTER)%♥」	「嗯…唔…我喜欢你，%ANAME(MASTER)%♥」
「ちゅ…なぁ…もっと…」	「啾…唔…再来…」
%ANAME(TARGET)%は頬を染め期待に満ちた目で%ANAME(MASTER)%を見つめた	%ANAME(TARGET)%红着脸颊用充满期待的眼神，凝视着%ANAME(MASTER)%
「ちゅ…ん…もっと…♥」	「啾…嗯…更多…♥」
%ANAME(TARGET)%は頬を染めながらせがんできた…	%ANAME(TARGET)%的脸颊被染红了…
「ん…ちゅ…ふふ…もっとか？」	「嗯…唔…fufu…继续么？」
「ちゅ…ん…もっと…」	「啾…唔……更多…」
「ちゅ…んっ…」	「唔…嗯…」
「んん…」	「嗯…」
「ちゅっ…愛してるぞ、%ANAME(MASTER)%♥」	「啾…唔…我爱你，%ANAME(MASTER)%♥」
「んん……大好きだぞ、%ANAME(MASTER)%♥」	「嗯…唔…最喜欢你了，%ANAME(MASTER)%♥」
「ちゅぅ……、なぁ…もっと…」	「嗯…唔…、啊…更多…」
「ちゅぅ…なぁ…もっと…」	「嗯…啊…还要…」
「んんぅ…ちゅぅ…れろ…♥」	「嗯…唔呣…来吧…♥」
%ANAME(TARGET)%は自ら舌を絡ませて%ANAME(MASTER)%の唾液を舐めとった	%ANAME(TARGET)%用舌头缠住着%ANAME(MASTER)%的舌吸吮着唾液
「んんぅ…ちゅぅ…れろ…」	「嗯…呣…来吧…」
「あむっ…ぢゅぅ…んはっ…愛してるぞ、%ANAME(MASTER)%♥」	「啊…唔…嗯呣哈…我爱你，%ANAME(MASTER)%♥」
「んんっ…は…くちゅ…ん…」	「啊…哈…啾…唔…」
%ANAME(TARGET)%と%ANAME(MASTER)%は涎が滴るのも構わず夢中で舌を絡ませあった	%ANAME(TARGET)%和%ANAME(MASTER)%顾不及口水的滴淌，忘我地交缠着舌头
「んぅ…れろ…ぢゅぅ…んはっ…もっと…」	「啊…哈啊…啾…唔…别停…」
%ANAME(TARGET)%はもう一度%ANAME(MASTER)%と舌を絡ませ唾液を貪り始めた	%ANAME(TARGET)%与%ANAME(MASTER)%舌头纠缠在一起，贪婪的吸吮着对方的唾液
「んんっ、ちゅぷ……れろ、ちゅ、んふっ…♥　もっと味わわせておくれ♥」	「啊…啾…，呣，嗯哼…♥ 再让我多尝尝♥」
二人は互いに激しく舌を絡め、唾液をそれぞれの口の中に流し込む作業に夢中になっている	两人互相激烈地交缠着舌头，埋头于将唾液注入对方口中的行为
「あむっ…ぢゅぅ…んはっ…大好きだぞ、%ANAME(MASTER)%♥」	「啊…啾…哈啊…最喜欢你了、%ANAME(MASTER)%♥」
「んぅ…れろ…ぢゅぅ…んはっ…もっと…♥」	「唔…嗯…啾……哈啊…更多…♥」
「んんっ、ちゅぷ……れろ、ちゅぅ……もっと…♥」	「嗯……呜，嗯…啾…再来…♥」
%ANAME(TARGET)%は%ANAME(MASTER)%の首に腕を絡め、更なるキスをせがんできた…	%ANAME(TARGET)%用手臂缠住%ANAME(MASTER)%の的脖子，要求进一步接吻…
「くちゅ…んん…ぷぁ…」	「呜…嗯…呣…」
二人の間に唾液の糸が出来ているのを見ると、%ANAME(TARGET)%は恥ずかしそうに顔を手で覆った	看到两个人之间结成的唾液丝，%ANAME(TARGET)%害羞地用手捂着脸
「んん！？　…んぅぅ…」	「嗯！？…呜呜…」
%ANAME(TARGET)%は舌を入れられたことに驚いたが、やがて%ANAME(MASTER)%の舌を受け入れた	%ANAME(TARGET)%对舌头的入侵而感到吃惊，不过不久就接受%ANAME(MASTER)%的舌头
「んんっ、ちゅぷ……れろ、ちゅ、んふっ…♥　もっと味わっておくれ♥」	「嗯……唔，呣，嗯哼…♥请再多尝一尝♥」
「背中、流そうか。ふふ、遠慮なんてしなくていいぞ♥」	「让我给你洗背吧。 fufu，不用客气啦♥」
「背中、流すぞ」	「擦背吧」
「ふふ、痒いところは無いか？　%ANAME(MASTER)%」	「fufu，没有痒的地方吗？%ANAME(MASTER)%」
「ごしごし…と。痛くないか？　%ANAME(MASTER)%」	「干巴巴的…这样不痛吗？%ANAME(MASTER)%」
「石鹸で泡立てて…手で優しく洗ってあげるからな」	「用肥皂起泡…我会用手温柔地洗的」
「背中、流してもらいたいのか？　ふふ、いいぞ♥　遠慮なんてしなくていいからな」	「你想让我给你洗背吗?fufu，好啊♥不用客气。」
「背中、流してもらいたいのか？」	「你想让我给你洗背吗?？」
「それじゃあ、流すぞ」	「那我洗了」
「今日はどこへ行く？　%ANAME(MASTER)%」	「今天去哪里？%ANAME(MASTER)%」
「どこへ行こうか…楽しみだな」	「去哪里好呢…好期待啊」
「今日はどこへ連れて行ってくれるんだ？　%ANAME(MASTER)%」	「今天带我去哪里？%ANAME(MASTER)%」
「どこへ行くのか…楽しみだ」	「要去哪里呢…好期待啊」
「私からもキモチよくしてやるからな♥」	「我会让你感觉舒服的♥」
「九尾の性技、とくと味わっておくれ♪」	「九尾的性技，请好好享受吧♪」
「ああ、%ANAME(対象)%の身体…、もっと触らせておくれ♥」	「啊啊，%ANAME(対象)%的身体…再让我多摸会♥」
「尻尾も合わせて、いっぱいキモチよくしてやるからな♥」	「尾巴也合在一起了，我会好好地让你舒服起来的♥」
「いつでもイっていいからな、我慢なんてしなくていいぞ♥」	「什么时候都可以哦、不用忍耐什么的♥」
「もっと蕩けて…私のモノになってしまえ♥」	「再放荡一点…成为我的东西吧♥」
「私の手、すべすべだろう？尻尾でもしてあげるぞ♥」	「我的手、很柔嫩吧？尾巴也一起哦♥」
「九尾のテクニック、堪能させてやろう♪」	「九尾的技巧，让我好好享受吧♪」
「蕩けさせてあげるからな♥」	「我会让你溶化的♥」
「私からもキモチよくしてあげるからな♥」	「我会让你感觉舒服的♥」
「ああ、%ANAME(対象)%♥　もっと触らせておくれ♥」	「啊、%ANAME(対象)%♥　再让我多摸会♥」
「こっちもキモチよくしてやるからな♥」	「我会给你无上的快乐的♥」
「ああ、%ANAME(対象)%のおっぱい、もっと触らせておくれ♥」	「啊啊，%ANAME(対象)%的胸部，再让我摸一下♥」
「指で乳首つまんで、先っぽを尻尾で…。ふふ、キモチいいだろう♥」	「用手指捏着乳头，用尾巴捏住前端…。fufu，感觉舒服吧♥」
「お前の胸も敏感にしてあげるな♥」	「你的胸部也要变得敏感了呢♥」
「さあ、もっと蕩けて…私のモノになってしまえ♥」	「来，再更加放荡…成为我的东西吧♥」
「私の指でクニクニされるの、いいだろう？　尻尾でもしてあげるぞ♥」	「我的手指舒服吗？来，尾巴也一块用上哦♥」
「私からもキモチよくしてあげる♥」	「我也会变的舒服起来的♥」
「ああ、%ANAME(対象)%のおっぱい、もっと感じさせてアゲル♥」	「啊啊，%ANAME(対象)%的胸部，再让我感受一下♥」
「指で乳首つまんで、先っぽを尻尾で…♥　ふふ、キモチいいか？」	「用手指捏着乳头，尖端用尾巴…♥呵呵，感觉舒服吗？」
「お尻の穴も気持ちよくしてあげるからな♥」	「屁股上的洞也会让你舒服的♥♥」
「こっちの穴も気持ちよくしてやろう」	「这个洞也给你快感吧」
「%ANAME(対象)%のここも、いっぱいキモチよくしてあげるからな♥」	「%ANAME(対象)%的这里、我也会给你无上的快感的♥♥」
「ちゃんとココもしてあげるぞ。私にお尻イジられるの、大好きだもんなぁ♥」	「我会给你好好做的。因为我喜欢欺负你的屁股呢♥」
「アナルでイカせてあげる♪　遠慮せずに喘いでいいぞ♥」	「肛门那会好好照顾的♪　不用顾虑，尽情地娇喘吧♥♥」
「もっと蕩けて…私のものになってしまえ♥」	「再放荡一点…成为我的东西吧♥」
「ここもキモチよくしてあげるからな…♥」	「这里也会让你舒服的…♥♥」
「お尻イジられるの、キモチいいか？　ならもっとしてやるぞ♥」	「被欺负屁股，感觉好吗？那么我再多欺负点♥」
「お尻で蕩けさせてあげるからな♥」	「我会让你屁股舒服得溶化的♥」
「こっちもキモチよくしてやろう」	「我也会好好做的」
「こっちも責めてやろう」	「这边会好好欺负你的」
「さあ、私の尻尾で女にしてやるぞ…♥」	「那么，用我的尾巴来做女人吧…♥」
「尻尾を入れてあげよう♥」	「把尾巴伸进去吧♥」
「ふふ…♥　キモチいいか？」	「fufu…♥感觉舒服吗？」
%ANAME(TARGET)%の尻尾が%ANAME(対象)%の雌穴を隙間無く犯している	%ANAME(TARGET)%的尾巴没有缝隙地侵犯了%ANAME(対象)%的母穴
毛先がまるでドリルのようになり、ずぽずぽと絶え間なく快感を与えてくる	发梢就像钻头一样，不断地给人带来快感
「あ、涎たれてるぞ…ちゅぅ…ふふ、そんなにキモチいいんだな♥」	「啊，流口水了啊……嗯…fufu，这么舒服的嘛♥」
「ふふ…♥　お前の穴と私の尻尾、とても相性がいいみたいだ♥　嬉しいよ♥」	「fufu…♥　你的洞和我的尾巴，好像很投缘♥ 好开心啊♥」
%ANAME(TARGET)%の尻尾は時折肉棒のような形状に変化しながら%ANAME(対象)%の雌穴を犯している	%ANAME(TARGET)%的尾巴变成肉棒一样的形状，侵犯着%ANAME(対象)%的小穴
「お前が大好きな尻尾でたっぷり犯してやるからな。ふふ♥」	「我会用你最喜欢的尾巴充分地侵犯你的。fufu♥」
%ANAME(対象)%は秘裂を分け入って膣内を責め立てる尻尾の快楽に蕩けている	%ANAME(対象)%分开秘裂让尾巴钻入阴道内，沉醉在尾巴的快乐中
「あぁ♥　私の尻尾がそんなにキモチいいんだな♥　いくらでもよがっていいぞ♪」	「啊啊♥我的尾巴那么舒服啊♥无论多少都可以哦♪」
「あ♥　身体ビクビクしてる♥　尻尾で犯されるの、もう病みつきみたいだな♥」	「啊♥身体战战兢兢♥被尾巴侵犯着，好像已经上瘾了♥」
%ANAME(TARGET)%は%ANAME(対象)%の女陰を尻尾で責め立て、相手を犯す快感に酔っている	%ANAME(TARGET)%用尾巴责备%ANAME(対象)%的小穴，陶醉于侵犯对方的快感
%ANAME(TARGET)%の尻尾が%ANAME(対象)%の蜜壷を容赦なく責め立てる	%ANAME(TARGET)%的尾巴毫不留情地责备%ANAME(対象)%的蜜壶
「ふふふ…♥　もっといっぱい声出していいんだぞ♥」	「fufufu…♥　可以叫出声哦，再大声点也行哦♥」
%ANAME(TARGET)%は%ANAME(対象)%の雌穴に一本の尻尾を出し入れしつつ他の尻尾で全身を責め立てている	%ANAME(TARGET)%在%ANAME(対象)%的小穴用一根尾巴抽插着，并用其他尾巴爱抚着身体
「私の尻尾で犯される気分はどうだ？」	「被我的尾巴侵犯的感觉怎么样？」
「ふふ、いくらでもよがっていいからな♥」	「fufu，不管多少都可以哦♥」
「尻尾で犯してあげよう」	「用尾巴来侵犯你吧」
「あぁ♥　私の尻尾がそんなにキモチいいんだな♥　いくらでもよがっていいんだぞ♪」	「啊啊♥我的尾巴那么舒服啊♥无论多少都可以哦♪」
「さあ、見て…私の尻尾がお前に入っていくぞ…♥」	「来，看看…我的尾巴会进入你的身体…♥」
%ANAME(TARGET)%の尻尾が%ANAME(対象)%の尻穴を隙間無く犯している	%ANAME(TARGET)%的尾巴在%ANAME(対象)%的屁股上无缝隙地侵犯着
「あ、涎たれてるぞ。…ちゅぅ…ふふ、そんなにキモチいいんだな♥」	「啊，流口水了。…嗯…呵呵，感觉这么舒服啊♥」
「ふふ…♥　ココを責められると弱いみたいだな。可愛い声が出てるぞ♥」	「呵呵…♥被责备这里的话好像很弱呢。发出了可爱的声音♥」
%ANAME(TARGET)%は%ANAME(対象)%の尻穴に無数の尻尾を出し入れしつつ、腸壁を毛先で刺激してくる	%ANAME(TARGET)%在%ANAME(対象)%的屁股孔里抽插着无数的尾巴，用发梢刺激肠壁
「ああ、本当にイイ声だ…。もっと九尾を味わってくれ♥」	「啊啊，真是好声音啊…。再好好享受下九尾的魅力吧♥」
%ANAME(対象)%はアナルを責め立てる、蕩けるような快感に悶えている	%ANAME(対象)%渴求着肛交，在放荡的快感中挣扎着
%ANAME(TARGET)%の尻尾は時折肉棒のような形状に変化しながら、ゴリゴリと%ANAME(対象)%の尻穴を犯している	%ANAME(TARGET)%的尾巴变成肉棒一样的形状，侵犯着%ANAME(対象)%的屁穴
「あ♥　こっちもビクビクしてる♥　尻尾でアナル責められるの、もう病みつきみたいだな♥」	「啊啊♥身体在兴奋地颤抖呢♥ 被尾巴欺负肛门，好像已经上瘾了呢♥」
%ANAME(TARGET)%は%ANAME(対象)%の尻穴を尻尾で犯しつつ、射精の時を待ちわびている…	%ANAME(TARGET)%将%ANAME(対象)%的屁穴用尾巴责备着、等待着射精的时刻
%ANAME(TARGET)%の尻尾が%ANAME(対象)%の尻穴を容赦なく責め立てる	%ANAME(TARGET)%的尾巴毫不留情地责备%ANAME(対象)%的屁穴
「ふふふ…♥　可愛い声が出てるぞ♥」	「fufu…♥　发出了女孩子般的声音呢♥」
%ANAME(TARGET)%は%ANAME(対象)%の尻穴に一本の尻尾を出し入れしつつ他の尻尾で下半身を責め立てている	%ANAME(TARGET)%在%ANAME(対象)%的屁股孔里用一只尾巴抽插着，其他尾巴爱抚着下半身
「ん…こっちもビクビクしてる♥　アナル責められるの、そんなにいいんだな♥」	「啊…身体在兴奋地颤抖呢♥　肛门被欺负、这么舒服吗♥」
%ANAME(TARGET)%は尻穴を尻尾で犯しつつ、%ANAME(対象)%の射精の時を待っている…	%ANAME(TARGET)%一边用尾巴欺负着屁股孔，一边等待着%ANAME(対象)%射精的时候
「尻尾で責めてあげよう」	「用尾巴来侵犯你吧」
「さあ、見て…私の尻尾がお前に入っていくところを…♥」	「来，看吧…我的尾巴正要进入你的地方…♥」
「あぁ♥　私の尻尾がそんなにキモチいいんだな♥　いくらでもよがっていいからな♪」	「啊啊♥我的尾巴那么舒服啊♥无论多少都可以去哦♪」
「ふふ、いただくぞ♥　んんっ…♥…れろ…♥」	「fufu、我要吃了哦♥　嗯…♥…啊呜…♥」
「んんっじゅぷっ…」	「啊呜…呣」
「ん…♥…ちゅぶ…♥　ちゅぅ…ちゅぷ…っ♥」	「嗯…♥…啾…♥　嗯…啾…嗯♥」
「%ANAME(MASTER)%の、もう病みつきだよ…♥♥」	「%ANAME(MASTER)%的、已经上瘾了…♥♥」
%ANAME(TARGET)%はまるで飴でも舐めるかのようにしゃぶりつき、%ANAME(MASTER)%の絶頂へ誘う…	%ANAME(TARGET)%就像舔糖一样，紧紧地吸着，让%ANAME(MASTER)%走向绝顶…
「んんっ♥じゅぷっ…れろ…♥　いくらでも飲んであげるから、たっぷり出していいぞ♥」	「嗯♥...啾…噗…♥ 多少都给你喝下去哦、满满的射出来吧~♥」
「どうしてこんなに愛おしく感じるのだろう…♥」	「啊…露出可爱的表情了呢♥」
%ANAME(TARGET)%はうっとりした表情でペニスを咥えると、のど奥まで一気にグラインドさせていく…	%ANAME(TARGET)%用出神的表情叼着肉棒，一口气让它滑到喉咙深处……
「ん…♥ちゅ…♥れろ…　私の口まんこに、いっぱい出してくれ♥♥」	「嗯…♥啾…♥呜…　在我的嘴里...满满的射出来吧	♥♥」
%ANAME(TARGET)%はペニスの鈴口をチロチロと舌で刺激し、%ANAME(MASTER)%の射精を待ちわびている…	%ANAME(TARGET)%用舌头刺激着马眼、催促着%ANAME(MASTER)%射精…
「んんっ♥じゅぷっ…れろ…♥　%ANAME(MASTER)%の…とっても美味しい…♥」	「嗯...♥啾…呜…♥　%ANAME(MASTER)%的…非常好吃呢…♥」
「あん…じゅる♥…ちゅっ♥…♥　我慢汁だけじゃ物足りないな♥」	「啊呜…啾♥…啾♥…♥　光是忍耐汁还不够啊♥」
「んんっ♥じゅぷっ…れろ…♥　早く濃いの、出してくれ♥」	「嗯啊♥啾…呣♥　快点把浓浓的精液、射出来~♥」
「ん…♥じゅ…♥…いっぱい出していいぞ♥」	「嗯…♥啾…♥呜…再多射点出来♥」
「ふふ、それでは…♥　んんっ…♥…れろ…♥」	「fufu、那么...♥　嗯…♥…啊呜…♥」
「おっぱいでしてほしい？　…ふふ、そうだな…私のコレにあれだけ目が行ってたんだもんなぁ…♥」	「你想让我用你的胸部做吗？…行呀…这么期待着嘛…呼呼♥」
%ANAME(TARGET)%はしっかりと両手で谷間を作り、陰茎を包み込むようにして谷間に導いた…	%ANAME(TARGET)%用双手紧紧地裹着胸部，将阴茎包裹起来，引导到山谷中……
その中は外見の張りのあるイメージとは裏腹にまるで羽毛布団にくるまったような温もりと柔らかさであった…	在里面感觉与外表有张力的印象相反，简直就像裹在羽毛被子里一样的温暖和柔软……
%ANAME(TARGET)%の気持ちいいか？　という問いに全力で頭を上下に振ると、%ANAME(TARGET)%も満足そうな顔で微笑んだ	%ANAME(TARGET)%问我舒服吗？ 对于这个问题我全力地点着头，%ANAME(TARGET)%带着满足的表情上下涌动着胸爱抚着肉棒…
「おっぱいで？　…ふふ、そうだな…私のコレにあれだけ目が行ってたんだもんな…」	「用乳房？…呼呼、行啊…对我的胸部这么在意吗…」
「%ANAME(MASTER)%は本当におっぱいが好きだな…。だが、悪い気はしないよ♥」	「%ANAME(MASTER)%真的很喜欢胸部啊…。啊、抱歉，我没有恶意哦♥」
「愛する人が、私の身体で感じてる顔を見るというのは何とも幸せなものだ…♥」	「看到所爱之人用我的身体舒服起来的样子，真是幸福啊……♥」
そう言うと、%ANAME(TARGET)%は谷間を作り、そのままペニスを突きいれるように促している…	%ANAME(TARGET)%这么说道，扶着胸部，催促直接将肉棒刺入……
「どうだ？　膣にも負けないほどキモチいいだろう？　ふふ♥」	「fufu♥怎么样？舒服程度不输于小穴吧？♥」
余りの快感にその問いに応られず、%ANAME(MASTER)%は谷間にペニスを一心不乱に打ちつけている	%ANAME(MASTER)%因过于快感而无法回答那个问题，在山谷里专心地耸动着肉棒
%ANAME(TARGET)%も乳房を寄せ、乳首を陰茎にこすりつけるように動かし、%ANAME(MASTER)%を快感で支配していく…	%ANAME(TARGET)%也把乳房夹紧，把乳头摩擦到阴茎上，%ANAME(MASTER)%被快感支配着…
「こうやってペニスを挟んでいると、私もこの熱で凄く興奮するんだ…♥」	「像这样夹着肉棒的话，我也会因为这热热的肉棒而兴奋的……♥」
「%ANAME(MASTER)%のペニスが跳ねるたびに、私の胸で感じてくれている…という証なのだからな♥」	「%ANAME(MASTER)%の每次肉棒跳跃的时候，我都会在胸口感受到…这就是夫君舒服的证明~♥」
そう言うと%ANAME(TARGET)%は更に胸でペニスをこすり上げると、はみ出た亀頭の鈴口に舌を差し入れるようにして刺激している…	%ANAME(TARGET)%这么说着，更是用胸摩擦着肉棒，并伸出舌头刺激着马眼…
%ANAME(TARGET)%は豊満な胸でむにむにと、%ANAME(MASTER)%の肉棒を弄んでいる	%ANAME(TARGET)%用丰满的胸脯咕噜咕噜地责弄着%ANAME(MASTER)%的肉棒
「ふふ…遠慮なく出していいぞ♥　私もお前の精がいっぱい欲しいから…♥」	「fufu…不用忍耐，尽情地射出来吧。♥　我也想要更多你的精液...♥」
そう言うと%ANAME(TARGET)%はスパートをかけ、%ANAME(MASTER)%は内からこみ上げてくる奔流を感じていた…	%ANAME(TARGET)%这么说着加快了摩擦肉棒，%ANAME(MASTER)%射精欲喷涌而出…
「お前も好きだな…だが、悪い気はしないよ♥」	「你就这么喜欢啊…啊、抱歉，我没有恶意哦♥」
「好きな人の感じてる顔を見るのは何とも愛おしいものだ…♥」	「看到喜欢的人舒服的样子，真是开心啊…♥」
「どうだ…？　まるで膣に入れているように感じるだろう？」	「怎么样…？感觉就跟插入小穴一样吧？」
「こうやってペニスを挟んでいると私もこの感触で…興奮するんだ…♥」	「这样夹着肉棒的话，我也会有感觉的…♥」
「%ANAME(MASTER)%のペニスが跳ねるたびに、私の胸で感じてくれている…という証なのだからな」	「每次%ANAME(MASTER)%的阴茎跳动的时候，都在我的胸口感受到…这就是证明」
「ふふ…♥　遠慮なく出していいぞ……♥」	「fufu…♥　不要顾虑地射出来吧……♥」
「どうだ？　私の胸は…柔らかいだろう…」	「怎么样？我的胸部…很柔软吧…」
「ふふ、病みつきって顔してるな。だが悪い気はしない…ちゅっ」	「fufu、你一副贪恋的样子啊。啊、抱歉，我没有恶意哦」
%ANAME(TARGET)%の顔が上気している。どうやら感じてくれていることに興奮を覚えているようだ	%ANAME(TARGET)%的嘴角微微上扬，似乎因为你的表现而兴奋
「さて、では私の媚肉と太股の柔らかさを味わってもらおうか」	「那么，好好享受我小穴和大腿的柔软吧」
%ANAME(MASTER)%の滾った肉棒を、%ANAME(TARGET)%は挿入せずに柔肉で挟み込む	%ANAME(MASTER)%的肉棒并没有插入小穴而是放进了%ANAME(TARGET)%温软的股间
「ふふ…。私の柔らかさ、存分に味わってくれ♥」	「fufu…。请尽情享受吧♥」
「あっ……んん」	「啊……嗯」
「お前のチンポと、あんっ♥　私のクリがキスするたびに、電撃が走ったみたいに…気持ちいいぃぃっ♥♥」	「你的肉棒，啊...♥　每次和我那里接吻时、就像是触电了一样…好舒服啊♥♥」
%ANAME(TARGET)%はその身を悶えさせるほどの快楽を貪ろうと、さらに腰を動かしている	%ANAME(TARGET)%的身体为了获取更大快乐，自然地配合着动着腰
「ああ…♥　我慢できない…次は、次は中でこれを…味わわせてくれ…♥」	「啊啊…♥　忍不住了啊…接下来、等会放进来行吗…让我尝尝吧…♥」
快楽に蕩けきった顔で懇願する%ANAME(TARGET)%の姿に、%ANAME(MASTER)%は肉棒を更に硬くさせた…	以沉醉于快乐的脸恳求着的%ANAME(TARGET)%的姿态、使%ANAME(MASTER)%肉棒更硬了…
「入れないのに何でこんなに気持ちがいいんだろうな…」	「为什么没放进去就这么舒服呢…嗯♥」
