%ANAME(対象)%の元を訪れると、サンタ帽を被った青髪でショートヘアーの女性が居た	拜访了%ANAME(対象)%，看到一位戴着圣诞帽的蓝色短发的女性。
部屋の主が%ANAME(MASTER)%に気付くと声を掛けてくる	屋主一看到%ANAME(MASTER)%，就打了招呼
「そろそろですね…、ようやく覚悟が出来ました」	「差不多了呢…终于有了觉悟」
「…ごめんなさい、まだ…怖くて…！」	「…对不起，还没有…好恐怖…！」
静かに震える%ANAME(対象)%を%ANAME(MASTER)%は抱きしめた	%ANAME(MASTER)%拥抱着静静颤抖的%ANAME(対象)%
「…ありがとう」	「…谢谢你」
%ANAME(対象)%は安心した様子で%ANAME(MASTER)%に身を任せている	%ANAME(対象)%把身体安心地交给了%ANAME(MASTER)%
「…可愛い我が子ですよ」	「…我可爱的孩子哦」
「ははは、いつ生まれるのでしょうね…」	「哈哈，什么时候出生呢…」
少し自棄%ANAME(対象)%を%ANAME(MASTER)%は励ました	%ANAME(MASTER)%鼓励了稍微有些自暴自弃的%ANAME(対象)%
「私は生まれるこの子を愛せるのでしょうか」	「我能爱这个即将出生的孩子吗」
「出来たなら私は貴方の子を…」	「如果可以的话，我会让你的孩子……」
「すみません、少し一人にさせて頂けませんか？」	「对不起，可以让我一个人呆一会吗？」
%ANAME(対象)%は別室で考え込んでしまった	%ANAME(対象)%在别的房间里陷入了沉思
「私は生まれるこの子を愛せるのでしょうか…」	「我能爱这个即将出生的孩子吗…」
「……中絶」	「……流产」
かなり真剣な様子で%ANAME(対象)%は考え込んでいる	%ANAME(対象)%以相当认真的样子沉思着
「……ちゅっ」	「……啾」
「…………ん」	「…………嗯」
「んっ……ふ……ちゅ……」	「嗯……嗯……啾……」
「……ちゅ……んぅ……」	「……啾……嗯……」
「んん……ちゅ……ふぅん……」	「嗯……啾……嗯……」
「ちゅ……ん……ちゅむ……くちゅ……はぁ…ん」	「啾……嗯……嗯……啾……哈…嗯」
もう一度、今度は長めにキスをしようとすると、%ANAME(対象)%はサッと顔を離してしまった……	再一次，这次想要长吻的时候，%ANAME(対象)%的脸一下子移开了……
%ANAME(対象)%はキスを終えた%ANAME(MASTER)%の唇に指先を当てる	%ANAME(対象)%用指尖触碰结束接吻的%ANAME(MASTER)%的嘴唇
離した指先を自分の唇に這わせると、切なげな瞳でまた何かを求めてきた……	把指尖放到自己松开的嘴唇上，有些悲伤的眼神仿佛在寻求着什么……
「ん……くす、もっとなさいますか？」	「嗯……库库，还要吗？」
正面からキスを交わし、しばらく見つめ合っていると、%ANAME(対象)%は艶やかな唇に微笑みを浮かべた……	从正面接吻，凝视了一会后，%ANAME(対象)%艳丽的嘴唇上露出了微笑……
「はぁはぁ……もっと……んっ……」	「哈哈……更多……嗯……」
互いに相手を呼び交わしながら、抱き合って何度もキスをする……	互相呼唤着对方，相拥而吻……
キスを終えると%ANAME(対象)%はうっとりした目で%ANAME(MASTER)%を見つめてきた	接吻结束后，%ANAME(対象)%用出神的眼神看着%ANAME(MASTER)%
お互いの吐息が少し当たる距離で、%ANAME(対象)%はゆっくりと目を閉じた。　唇は静かに濡れて誘っている……	在能感受到彼此呼吸的距离里，%ANAME(対象)%慢慢地闭上了眼睛。湿润的嘴唇静静地诱惑着……
「んっ……ふふっ。　優しいキスね」	「嗯……呋呋。温柔的吻啊」
%ANAME(対象)%は%ANAME(MASTER)%の頬に手を当てて優しく微笑みを浮かべた	%ANAME(対象)%用手贴在%ANAME(MASTER)%的脸颊上，温柔地微笑着
路地裏で唇だけのキスを続ける%ANAME(対象)%、横眼には人々が行き交う姿が映る	在小巷里持续亲吻嘴唇的%ANAME(対象)%，用眼角余光看到了人们来往的身影
「んっ……こんなところで……ちゅ……んんっ……誰かに見られたら……」	「嗯……在这种地方……啾……嗯……如果被谁看见了……」
言葉とは裏腹に%ANAME(対象)%は%ANAME(MASTER)%の服を引っ張って身体を密着させてくる	与语言相反，%ANAME(対象)%拉着%ANAME(MASTER)%的衣服，紧贴着身体
「接吻……とまらない……んっ……はぁはぁ」	「接吻……停不下来……嗯……哈啊哈啊」
「ねぇ、こんな子供みたいなキスで……満足出来るのかしら？」	「呐，用这样孩子气的吻……能满足吗？」
甘味処の中、他の客に悟られないように静かに口づけを交わす	在甜食店中，为了不让其他客人察觉，静静地相互亲吻
「ちゅ……ふふ、%ANAME(MASTER)%？　クリームが付いてるわよ？」	「啾……呋呋，%ANAME(MASTER)%？有奶油哦？」
キスを交わすと、%ANAME(対象)%がそう指摘して、そっと舌を伸ばして%ANAME(MASTER)%の唇を舐めてくれた	接吻后，%ANAME(対象)%这样指出，并轻轻地伸出舌头舔着%ANAME(MASTER)%的嘴唇
「んっ……おいし……ふふ、誰か見てるかもしれませんね♪」	「嗯……好吃……呋呋，可能有人在看呢♪」
貸本屋の本棚に隠れ、%ANAME(MASTER)%は%ANAME(対象)%の両手を本棚に押さえつけ口づける	躲在出租书店的书架后，%ANAME(MASTER)%将%ANAME(対象)%的双手按在书架上亲吻着
「んんっ……」	「嗯……」
唇を強く押し当て、慌てる%ANAME(対象)%の声を押し殺す	用力按着嘴唇，压住慌张的%ANAME(対象)%的声音
%ANAME(対象)%はふと周囲を確認すると店番の少女らしき人影が、隠れてこちらを窺っているのが見えた	%ANAME(対象)%突然向周围确认了一下，看到店里的一个少女模样的人影藏在里面窥视着这边
「(あっ……見られちゃってる……)」	「（啊……被看到了……)」
視線に気づいた%ANAME(MASTER)%は隠れ窺う少女を一瞥する	注意到目光的%ANAME(MASTER)%瞥了一眼正在偷窥的少女
「ねぇ、もっと見せつけてあげましょう……」	「呐，再给你看看吧……」
%ANAME(対象)%は舌なめずりをして唇を光らせ、艶やかな笑みを浮かべた……	%ANAME(対象)%舔了下散发光泽的嘴唇，浮现出艳丽的笑容……
「んっ……ちゅ、んんっ……」	「嗯……嗯，嗯……」
「ん、ちゅ……ん……ぁ……」	「嗯，啾……嗯……啊……」
%ANAME(対象)%と唇を触れ合わせると、切なげな吐息を漏らしながら、%ANAME(MASTER)%の唇を吸ってきた……	%ANAME(対象)%和嘴唇互相接触后，一边露出悲伤的叹息，一边吸着%ANAME(MASTER)%的嘴唇……
%ANAME(対象)%は%ANAME(MASTER)%に抱き付いてキスをせがんだ……	%ANAME(対象)%抱在%ANAME(MASTER)%的怀里要求亲吻……
唇を触れ合わせると、%ANAME(対象)%の方から舌を少しだけ差し込み、唇を愛撫するようにしてくる……	触摸嘴唇的话，会从%ANAME(対象)%那里稍微插入舌头，爱抚嘴唇……
「んんっ……ふ……あぁ、%ANAME(MASTER)%……」	「嗯……嗯……啊，%ANAME(MASTER)%……」
%ANAME(対象)%は切なげに%ANAME(MASTER)%の名前を呼び、ぎゅっと抱きついて、%ANAME(MASTER)%の唇を吸っている……	%ANAME(対象)%痛苦地呼唤着%ANAME(MASTER)%的名字，紧紧地抱住，吸着%ANAME(MASTER)%的嘴唇……
「%ANAME(MASTER)%……んんっ……%ANAME(MASTER)%……んちゅ……はぁ……んっ……」	「%ANAME(MASTER)%……嗯……%ANAME(MASTER)%……嗯中……哈……嗯……」
互いに相手を呼び交わしながら、抱き合って何度もキスをする	互相呼唤对方，相拥而吻
いつしか互いに吸い合うように激しくなり、水音が響いていた……	不知不觉间彼此变得激烈，水声响起……
「ちゅ……んっ……ふぁっ」	「啾……嗯……哈啊」
唇を離すと%ANAME(対象)%は満足そうにこちらを見つめている	放开嘴唇，%ANAME(対象)%满足地看着这边
唇で%ANAME(対象)%の唇を優しく噛むようにしてやると、微かに耳元で声が聞こえた……	用嘴唇温柔地咬着%ANAME(対象)%的嘴唇，在耳边隐约听到了声音……
「ふふ、接吻……お好きなのですね？」	「呋呋，接吻……你喜欢吧？」
「ねぇ、もっと大人なキスに……いかない？」	「呐，更加成熟的吻……不试试吗？」
離した指先を自分の舌に這わせると、切なげな瞳でまた何かを求めてきた……	放开指尖抵在自己的舌头上，有些难受的眼神似乎在寻求着什么……
恋人が集まるカフェ、同じソファに腰かけながら、	在恋人聚集的咖啡店，坐在同一张沙发上
互いの両の手で強く抱きしめ、唇を強く押し付けあって熱いキスを交わす二人	两人用彼此的双手紧紧抱住，紧紧地按在嘴唇上，交换着热吻
「ん……ちゅ……んむ……んんっ……ちゅ」	「嗯……啾……嗯……嗯……啾」
チラチラと他のアベック達の視線を感じる%ANAME(対象)%、	%ANAME(対象)%能感受到其他情侣们的视线
しゅるしゅると尻尾を%ANAME(MASTER)%に巻き付け、より熱いキスを求める	沙沙地把尾巴缠在%ANAME(MASTER)%身上，索求着更热烈的吻
「(……%ANAME(MASTER)%は私のもの、誰にもあげないわ)」	「(……%ANAME(MASTER)%是我的，我不会给任何人）」
活動写真館の中、暗い部屋にぼんやりと浮かぶ幻灯機の映像	活动照相馆中昏暗的房间里，幻灯机的影像模糊地浮现在眼前
静かに映像を眺める観客、最後列には%ANAME(MASTER)%と%ANAME(対象)%が居る	静静地观看影像的观众的最后一排是%ANAME(MASTER)%和%ANAME(対象)%
「……ふーん」	「……嗯」
大衆向けというより男受けなストーリーに、%ANAME(対象)%はつまらなさそうな顔を浮かべていていた	与其说是面向大众，不如说是受男性欢迎的故事，%ANAME(対象)%脸上浮现出无聊的表情
「んっ？！　……ふっ……」	「嗯？！　……呼……」
そっとこちらを向かせて唇を触れ合わせると、尻尾が驚いたように逆立った	轻轻转过身来吻了吻她，她的尾巴就像被吓了一跳似的倒立起来
「んんっ、ん……ぁ……」	「嗯，嗯……啊……」
更に唇を強く触れ合わせると、艶やかな声が聞こえた	嘴唇更加用力地接触后，发出了艳丽的声音
「ん……ふぁ……くす、キスする？」	「嗯……啊……嗯，接吻吗？」
ふたたび正面からキスを交わし、離れると微かに唾液が銀の糸を引いた	再一次从正面接吻，离开的时候唾液微微地拉出了银线
それが空気に溶けていくのを見やって、%ANAME(対象)%は艶やかな微笑みを浮かべている……	看着它消失在空气中，%ANAME(対象)%浮现出艳丽的微笑……
「んっ、ちゅぅ……ん、ふ、ぁぁ……ちゅ、ぴちゃ……」	「嗯，嗯……嗯，呼……啾、噗啾……」
「ん……ふぁ……ぺろ……ちゅ、ちゅうぅぅ……」	「嗯……啊……呸咯……嗯，嗯……」
「ん……はむぅ……ちゅるる……れろ……ちゅ……」	「嗯……啾，噗哈，哈啊，哈啊……啾噜……嘞咯……啾……」
%ANAME(対象)%は目を閉じ、頬を赤らめて舌を動かしてきた……	%ANAME(対象)%闭上眼睛，红着脸颊动着舌头……
%ANAME(MASTER)%が舌を差し入れ、舌で口の中を愛撫すると、%ANAME(対象)%はされるがままに任せている……	当%ANAME(MASTER)%伸出舌头，用舌头爱抚她的口中时，%ANAME(対象)%便任凭摆布了……
%ANAME(対象)%の甘い唾液をかき混ぜ、飲み込む	搅拌、吞下%ANAME(対象)%的香甜唾液
%ANAME(MASTER)%の喉が動く度、%ANAME(対象)%は微かに身体を震わせている……	每次%ANAME(MASTER)%的喉咙一动，%ANAME(対象)%的身体就微微颤抖……
正面からキスを交わし、最後まで舌先を絡めたまま離れる	面对面接吻着，直到最后都缠着舌尖离开
「ふふ、まだ、なさいますか……？」	「呋呋，还要吗……？」
唾液の滴が落ちていくのを見て、%ANAME(対象)%は艶やかな微笑みを浮かべている……	看到唾液滴下来，%ANAME(対象)%浮现出艳丽的微笑……
%ANAME(対象)%を抱き寄せ、舌をしっかりと絡めて、お互いの唾液を感じあう	紧紧抱住%ANAME(対象)%，紧紧地缠绕着舌头，感受着彼此的唾液
%ANAME(対象)%は激しく%ANAME(MASTER)%と舌を摺り合わせ、水音を立てては、なおも%ANAME(MASTER)%の唇を吸い上げてきた……	%ANAME(対象)%激烈地把%ANAME(MASTER)%的舌头合在一起，发出水声地继续吮吸着%ANAME(MASTER)%的嘴唇……
唇を触れ合わせると、%ANAME(対象)%の方から舌を入れてきた	嘴唇相接触后，%ANAME(対象)%就把舌头伸了进来……
%ANAME(対象)%は%ANAME(MASTER)%の唾液を飲み尽くそうというかのように激しく吸い、	%ANAME(対象)%激烈地吸着%ANAME(MASTER)%的唾液
飲み込んでは、さらに狂おしく舌を絡めてくる……	咽下去之后，更加疯狂地缠绕着舌头……
唇を触れ合わせると、%ANAME(対象)%の方から舌を入れてきた……	嘴唇相接触后，%ANAME(対象)%就把舌头伸了进来……
%ANAME(MASTER)%の舌を絡め取り、口の中を優しく愛撫しては、唾液を吸って飲み込んでいる……	缠住%ANAME(MASTER)%的舌头，温柔地爱抚着口中，吮吸着唾液咽下去……
誘われるまま唇を交わし、%ANAME(対象)%の口の中を存分に楽んで、互いの唾液を混ぜ合わせていく	像引诱一样交换嘴唇，在%ANAME(対象)%的口中尽情地享受，彼此的唾液混合在一起。
%ANAME(対象)%は%ANAME(MASTER)%にされるがままに任せているが、	%ANAME(対象)%任凭%ANAME(MASTER)%所摆部
少しでも離れそうになると、求めるように舌を吸い上げてくる……	稍微要分开的时候，就会像索求着一样吮吸着舌头……
舌を絡め、擦り合わせては、%ANAME(対象)%の口の中を愛撫する	用舌头缠绕，互相摩擦，爱抚着%ANAME(対象)%的口中
尽きることの無いかのようにわき出る香しい唾液を、%ANAME(MASTER)%はぼうっとした気分で飲み込んでいった	%ANAME(MASTER)%迷迷糊糊地咽下了不断涌出的香甜唾液
「%ANAME(MASTER)%、もっと……もっと、求めて……？」	「%ANAME(MASTER)%，更多……还想要更多……?」
「お好きなだけ、ん、ちゅ、ちゅうぅ、ん、ふ……」	「只要你喜欢，嗯，啾，嗯，嗯……」
正面から固く抱き合ってキスを交わし、狂おしいほど舌を絡めては、水音を響かせて互いの唇を強く吸い合う……	从正面紧紧地抱在一起接吻，近乎疯狂地缠绕着舌头，发出水声强烈地吮吸着彼此的嘴唇……
ただ息づかいだけが聞こえる中、貪るようなキスは何分も続いた……	在只听到呼吸声中，贪婪的接吻持续了好几分钟……
%ANAME(対象)%は閉じた目に微かに微笑みを浮かべ、 うっとりした表情で%ANAME(MASTER)%と舌を擦りつけている……	%ANAME(対象)%闭上眼睛微微一笑，陶醉地用舌头和%ANAME(MASTER)%互相蹭着……
唇を触れ合わせると、待ちきれないというように、%ANAME(対象)%の舌が%ANAME(MASTER)%の舌を撫で、そうして奥へと誘っていく	只是触摸嘴唇就已经等不及了，%ANAME(対象)%的舌头抚摸着%ANAME(MASTER)%的舌头，然后向里面邀去
誘われるままに奥へと舌を入れ、口の中を存分に愛撫してあげると、	在被邀请的情况下，将舌头伸进里面，尽情地爱抚嘴巴
%ANAME(対象)%は切ないほどの吐息を漏らして%ANAME(MASTER)%に抱きついてきた……	%ANAME(対象)%吐出苦闷的气息，抱住了%ANAME(MASTER)%……
正面からキスを交わし、互いの口元がべとべとになるまで唾液を交わして、離れる頃には滴が床へ垂れていた	面对面接吻，到彼此的嘴角变得黏糊糊为止不停交换唾液，离开的时候水滴已经滴在地板上了
「くす……もっと、いらして下さい？　%ANAME(MASTER)%……」	「库库……要再来一点吗？%ANAME(MASTER)%……」
%ANAME(対象)%は%ANAME(MASTER)%の唇に残った唾液をそっと舌先で舐め取ると、濡れた唇に誘うように微笑みを浮かべた……	%ANAME(対象)%轻轻地用舌尖舔舐了%ANAME(MASTER)%嘴唇上残留的唾液，像是在诱惑着似的湿润的嘴唇露出了微笑……
%ANAME(MASTER)%が%ANAME(対象)%の口腔内に侵入し、唾液を注ぎ込んでやると	%ANAME(MASTER)%侵入%ANAME(対象)%的口腔内，注入唾液
%ANAME(対象)%は嬉しそうな表情を見せながら%ANAME(MASTER)%の唇に吸い付いた	%ANAME(対象)%一边露出高兴的表情一边吸着%ANAME(MASTER)%的嘴唇
わざと音を立てて%ANAME(MASTER)%の体液を受け入れていく%ANAME(対象)%に対し	%ANAME(対象)%故意发出声音接受着%ANAME(MASTER)%体液
%ANAME(MASTER)%も自らの唾液を溢さぬよう、より一層強く%ANAME(対象)%を抱きしめていく	为了不让自己的唾液溢出，%ANAME(MASTER)%更加用力地抱住%ANAME(対象)%
%ANAME(対象)%の舌が%ANAME(MASTER)%の口腔内で暴れまわるたびに、	每当%ANAME(対象)%的舌头在%ANAME(MASTER)%的口腔内暴走的时候
%ANAME(MASTER)%の唾液が絡め取られ、更なる分泌が促されていく	%ANAME(MASTER)%被缠住，唾液被进一步促进分泌
こぼれない様に、自らの体液を全て%ANAME(対象)%に納める様に%ANAME(対象)%の頭をしっかりと固定してやると	为了不让它溢出来，把%ANAME(対象)%的头好好地固定住，然后将自己的体液全部注入%ANAME(対象)%里
%ANAME(対象)%もさらに積極的に舌を動かし、%ANAME(MASTER)%の体液を吸い上げていく……	%ANAME(対象)%也更加积极地活动舌头，吮吸%ANAME(MASTER)%的体液……
%ANAME(対象)%の舌が%ANAME(MASTER)%の口腔内を掻き回し、舌を蹂躙するごとに、痺れる様な甘い快感が%ANAME(MASTER)%の全身に走る	%ANAME(対象)%的舌头在%ANAME(MASTER)%的口腔内来回搅拌，每次蹂躏舌头的时候，麻痹般的甜蜜快感就会在%ANAME(MASTER)%的全身奔跑
それに伴って%ANAME(MASTER)%は無意識的に体を震わせ、%ANAME(対象)%を抱き寄せる腕にも力が入ってしまう	伴随着%ANAME(MASTER)%的身体无意识地颤抖，抱着%ANAME(対象)%的手臂也用力了
「ちゅ……あむっ……ふふ……%ANAME(MASTER)%もすごく気持ちよさそう……」	「啾……啊……呋呋……%ANAME(MASTER)%感觉也很舒服……」
離した指先を自分の舌に這わせると、切なげな瞳で更にキスを求めてきた……	放开之后把指尖放到自己的舌头上，用苦闷的眼神渴求着更多的亲吻……
人が行き交う広場で抱き合い、唇を重ねあい、舌を踊らせる%ANAME(MASTER)%と%ANAME(対象)%	在人来人往的广场上%ANAME(MASTER)%和%ANAME(対象)%相拥，重叠双唇，舞动着舌头
あまりにも情熱的なキスに、周囲からの視線が徐々に増えていく	由于过于热情的接吻，周围的视线渐渐增加
それでも二人は狂おしいほど舌を絡めては、水音を響かせて互いの舌を強く吸い合う	尽管如此，两人还是疯狂地缠绕着舌头，让水声响起，互相用力地吸着舌头
「ん……くちゅ……ふぁあ……ん……ちゅ……んむ……ぷはぁ……はぁ……」	「嗯……啾……啊啊……嗯……啾……嗯……噗哈哈……哈……」
「%ANAME(MASTER)%……もっと……もっと、求めて……？」	「%ANAME(MASTER)%……更多……还想要更多……？」
互いの息がかかり、服が擦れ、熱と水音は増していく、貪るようなキスは更に数分も続いた	彼此呼吸急促，衣服摩擦，热度和水声越来越大，贪婪的接吻又持续了几分钟
「んんっ……ふふ、まだ、なさいますか……？」	「嗯……呋呋，还要吗……？」
周囲からの視線を他所に、ようやく顔を離すと微かに唾液が銀の糸を引いた	把周围人的视线无视，许久才把脸分开，唾液微微地拉上了银丝
貸本屋の一角に響く淫らな水音と、湿っぽい嬌声	在出租书店一角回响着淫荡的水声和潮湿的娇声
恋愛小説や官能小説に読み耽った二人は熱っぽい視線を交わしながら唇を塞ぎ合う	沉迷于恋爱小说和官能小说的两人，一边交换着炽热的视线，一边堵住嘴唇
他の客も、店番の少女も気にせず、互いの事だけを想いつつひたすらに互いの唇を犯し合う	不管是其他客人，还是看守店的少女，都不在意，只想着彼此，一味地侵犯对方的嘴唇
ついには%ANAME(MASTER)%が%ANAME(対象)%にかぶさるようにその場で倒れ込んだ	最终，%ANAME(MASTER)%压倒了%ANAME(対象)%，当场躺下了
そして両腕は互いを求めるように、互いの背中に回され、より強い抱擁を欲し、	然后双臂像是互相寻求一样，绕在彼此的背上，想要更强的拥抱
全身の熱をどうにかしようと体と体が擦れ合い、服に皺を作る	身体和身体互相摩擦，衣服上起了皱纹
瞳と瞳でただひたすら見つめあい、そして口腔内では舌と舌が踊り、奉仕しあう	眼睛和眼睛互相凝视，舌头和舌头在口腔内跳舞，互相侍奉着
二人は狂おしいほど舌を絡めては、水音を響かせて互いの舌を強く吸い合う	两个人的舌头疯狂地纠缠，水声响起，互相用力地吸着舌头
「ん……ちゅ……んむ……んんっ……じゅるるるぅ……」	「嗯……啾……嗯……嗯……珠理奈……」
そんな二人の甘い熱にほだされてか、店番の少女は自らを慰め始めた	不知道是不是被这两个人的甜蜜热情所触动，看守店的少女开始自慰了
貸本屋は淫靡な雰囲気に満たされ、二人もまた少女の熱にほだされ、その口づけを熱くした	出租书店充满了淫靡的气氛，两人也被少女的热情所影响，热烈地接吻着
気付けば互いの口元がべとべとになるまで唾液が交わされ、滴が床へ垂れていた	回过神来，发现彼此的嘴角都是黏糊糊的，唾液交替着，滴到了地板上
「はぁ……はぁ……じゅるる、ちゅるる……んふぅ、%ANAME(MASTER)%……♥」	「哈……哈……啾噜噜、啾噜噜……嗯，%ANAME(MASTER)%……♥」
%ANAME(対象)%は%ANAME(MASTER)%の唇に残った唾液をそっと舌先で舐め取ると、柔らかな微笑みを浮かべた	%ANAME(対象)%轻轻地用舌尖舔了%ANAME(MASTER)%嘴唇上残留的唾液，浮现出温柔的微笑
少し傍では少女の押し殺したような嬌声が次第に大きくなり、最後には琴線が切れたような嬌声と共に果てていた	在她身边，少女那压抑着的娇声渐渐变大，最后和琴弦断裂般的娇声一起达到高潮
やがてとても長かったような、一瞬の出来事だったような交わりの一時は終わり、	不久，漫长而短暂的交往结束了
二人は唇と唇を離すと、気持ちいい、柔らかい感触を名残惜しみながらその幸せにただ微笑みあうのだった……	两个人的嘴唇分开后，一边留恋着那种舒服、柔软的触感，一边幸福地微笑着……
「んん！？」	「嗯！？」
余裕の表情を見せる%ANAME(対象)%だったが舌が入った途端に動揺して尻尾が激しく動いている	虽然%ANAME(対象)%的表情很从容，但舌头一伸进去，她的尾巴就剧烈地摇动起来。
「………次」	「………再来」
%ANAME(対象)%は紅潮させながら%ANAME(MASTER)%に抱き着き続きをせがんだ	满脸潮红的%ANAME(対象)%抱住%ANAME(MASTER)%请求继续
%ANAME(対象)%は強がっているが、尻尾が動揺で激しく毛羽立っている……	%ANAME(対象)%虽然在逞强，但是尾巴因为动摇而剧烈地起了毛……
「ここがお勧めのお店ですが、良い雰囲気のお店ですね」	「这里是我推荐的店，气氛很好呢」
「まるで私達恋人同士みたいですねぇ…」	「我们简直就像是恋人一样啊…」
「勿論、私だって乙女ですからこういったデートは夢見ていましたよ」	「当然，我也是少女，所以梦想着这样的约会」
「たまには夢の支配者たる私が夢に現を抜かすのも良いでしょう」	「作为梦的支配者的我偶尔在梦中逃避现实也不错吧」
%ANAME(対象)%と%ANAME(MASTER)%は二人で楽しく食事を摂った	%ANAME(対象)%和%ANAME(MASTER)%愉快地吃了饭
「ここがお勧めのお店ですが、良い雰囲気のお店ですねぇ」	「这里是我推荐的店，气氛很好呢」
「まるで私達恋人同士みたいですが」	「好像我们是恋人一样」
「まだそうでは無いので変な気を起こさないで欲しいですねぇ」	「因为还不是那样，所以请不要产生奇怪的心情啊」
%ANAME(対象)%はニヤケながら%ANAME(MASTER)%と食事を摂っている	%ANAME(対象)%一边笑着一边和%ANAME(MASTER)%吃了饭
%ANAME(MASTER)%は%ANAME(対象)%を連れ、里で人気のカフェを訪れた	%ANAME(MASTER)%带着%ANAME(対象)%去了村里很受欢迎的咖啡店
「苺のショートケーキ、マロングラッセ……チーズケーキ、どれにしようかしら」	「草莓蛋糕，蜜饯栗子……芝士蛋糕，要哪个呢」
ショーウインドウに並べられたケーキを吟味する%ANAME(対象)%	%ANAME(対象)%仔细品味橱窗里摆着的蛋糕
「あぁこの贅沢な悩み、素晴らしいわ」	「啊，这个奢侈的烦恼，太棒了」
「%ANAME(MASTER)%はもう決めた？　それじゃあ私も決めなきゃ……」	「%ANAME(MASTER)%已经决定了吗？那我也必须决定……」
「んっー……これにするわ！」	「嗯……我要这个！」
%ANAME(対象)%が選んだのは、苺のショートケーキだった	%ANAME(対象)%选择的是草莓蛋糕
「ふふっ、王道のなかの王道は外れがありませんからね」	「呋呋，王道中的王道是没有错的」
「う～ん美味しいっ！　紅茶もなかなか風味がよくて合うわ～」	「嗯~很好吃！红茶的味道也很好，很适合哦~」
「ところで%ANAME(MASTER)%って、上にある苺って最初に食べる？」	「话说回来，%ANAME(MASTER)%是最先吃上面的草莓吗？」
%ANAME(MASTER)%と%ANAME(対象)%は談笑しながら、ケーキを楽しんだ	%ANAME(MASTER)%和%ANAME(対象)%一边谈笑一边享受蛋糕
%ANAME(MASTER)%は%ANAME(対象)%を連れ、里で人気の飲食店を訪れた	%ANAME(MASTER)%带着%ANAME(対象)%去了村里很受欢迎的饮食店
「席は……そんな多くないのね、10人も入れそうにないわね」	「座位是……没那么多啊，连10个人都坐不下啊」
「へぇ、人気のお店だから予約を取るのに苦労したのね。　それじゃあ期待出来るわね……！」	「啊，因为是很受欢迎的店，所以预约很辛苦呢。那就可以期待了吧……！」
「それでメニューは……あれ？　コース系なのね、珍しい」	「然后菜单是……咦？是很少见的路线系啊」
「ところでこのお水、スゴく……美味しいわね」	「对了，这个水，真的真的很好吃呢」
「カプレーゼって言うの？　このトマトとブヨブヨしたチーズだけのサラダ」	「是卡普里塞吗？这个西红柿和干酪沙拉」
「ふーん、なんだか分からないけど食べてみましょうか……mgmg」	「嗯，虽然不知道怎么回事，但还是尝尝吧……mgmg」
「あれ！？　これ美味しいじゃない！　ほら%ANAME(MASTER)%も早く早く」	「咦！？这个不是很好吃吗！快来，%ANAME(MASTER)%也快点」
「ふふふ……次のメニューが楽しみね。　特に……最後のデザート！」	「呋呋……期待下一个菜单。特别是……最后的甜品！」
%ANAME(MASTER)%と%ANAME(対象)%は談笑しつつ、コース料理に舌鼓を打った	%ANAME(MASTER)%和%ANAME(対象)%谈笑着，咂着嘴吃着套餐料理
%ANAME(MASTER)%は%ANAME(対象)%を連れ、里で人気のベーカリーを訪れた	%ANAME(MASTER)%带着%ANAME(対象)%，来到了村子里很受欢迎的面包店
「ふふふっ、パン屋さんっていいよね……こんな沢山のパンから好きなものを選んで食べれるのだから」	「呋呋，面包店真好啊……因为可以从这么多面包中选择喜欢的东西来吃」
「実物を見て選べるから後悔もし難いからね」	「看到实物后再选择，所以也不会后悔」
「……でも、どうしようものかしら」	「……但是，怎么办呢」
「欲しいものを選びすぎて、確実に食べ切れない量になっちゃったわ……」	「选了太多想要的东西，确实是吃不完的量……」
「ふふっ、ありがとうね%ANAME(MASTER)%」	「呋呋，谢谢你啊」
結局、二人で食べきれる量のパンを%ANAME(対象)%が選んでくる形で済ませた	结果，%ANAME(対象)%选择了两个人能吃的量的面包
「これで色々なパンが楽しめていいじゃない？」	「这样就能享受到各种各样的面包不是很好吗？」
「お礼に少し、サービスしてあげましょうか、ほらあーん」	「作为答谢，稍微给你点服务吧，啊~」
%ANAME(対象)%がちぎったパンを、%ANAME(MASTER)%は口で受け止める	%ANAME(MASTER)%用嘴接住了%ANAME(対象)%撕碎的面包
「ふふっ、まるでカップルね私たち」	「呋呋，好像是情侣呢我们」
%ANAME(MASTER)%と%ANAME(対象)%は談笑しつつ、様々なパンに舌鼓を打った	%ANAME(MASTER)%和%ANAME(対象)%一边谈笑，一边品品尝着各种各样的面包
%ANAME(MASTER)%は%ANAME(対象)%を連れ、里で人気のラーメン店を訪れた	%ANAME(MASTER)%带着%ANAME(対象)%去了村里很受欢迎的拉面店
「ちん……ちん亭？　変わった名前ね。　でも列には女性が多いわねぇ」	「嗯……安亭？很奇怪的名字呢。但是队伍里女性真多啊」
女性ばかりの列で待ち十数分、ようやく%ANAME(MASTER)%たちは店の暖簾をくぐった……	在只有女性的队伍里等了十几分钟，%ANAME(MASTER)%终于钻进了店铺的门帘……
調理の熱気でむわっとする店内、案内された席の隣では太った男が一心不乱に麺を啜っている	店内因为烹饪的热气而朦朦胧胧的，在被领到的座位旁边，一个胖男人正专心致志地吃着面
「おぉ……。　さてメニューは？　ふむふむ、それじゃあ……私はアレを頼もうかしら」	「哇……。那么菜单呢？嗯，那么……我可以试试那个吗」
